model,metric,quant_a,quant_b,n_patients,median_a,median_b,median_diff_a_minus_b,bca_ci_lo,bca_ci_hi,ci_method,ci_excludes_zero,wilcoxon_W,wilcoxon_p,alternative,effect_r_rb,n_nonzero_diffs,higher_is_better,omnibus_gated,p_holm,significant_05,sig_ci_agreement
Phi-4-mini-instruct,bertscore_f1_mean,Q4_K_M,Q3_K_M,100,0.6503380880544061,0.6553901739810643,0.002677130542303452,-0.0009897644582547716,0.007146451347752603,bca,False,2701.0,0.2725412709377496,greater,0.06970297029702971,100,True,False,0.2725412709377496,False,True
Qwen-MediCare-BD,bertscore_f1_mean,Q6_K,Q5_K_M,99,0.6428178291571768,0.6285374501818105,0.01274996070485368,0.006632954666489055,0.017852354520245584,bca,True,3783.0,2.4939141778832233e-06,greater,0.5284848484848484,99,True,False,7.48174253364967e-06,True,True
Qwen-MediCare-BD,bertscore_f1_mean,Q6_K,Q4_K_M,99,0.6428178291571768,0.6254082762881329,0.018898917969904394,0.007235120001592099,0.02724075662462333,bca,True,3776.0,2.8011682914648036e-06,greater,0.5256565656565657,99,True,False,7.48174253364967e-06,True,True
Qwen-MediCare-BD,bertscore_f1_mean,Q6_K,Q3_K_M,99,0.6428178291571768,0.5632861573445169,0.08085205460849565,0.06863170344578584,0.0898604206348721,bca,True,4865.0,3.658636366203878e-17,greater,0.9656565656565657,99,True,False,2.1951818197223268e-16,True,True
Qwen-MediCare-BD,bertscore_f1_mean,Q5_K_M,Q4_K_M,99,0.6285374501818105,0.6254082762881329,0.003612757983960657,-0.0007597352329054008,0.013039467209263855,bca,False,2757.0,0.16249342362271885,greater,0.11393939393939394,99,True,False,0.16249342362271885,False,True
Qwen-MediCare-BD,bertscore_f1_mean,Q5_K_M,Q3_K_M,99,0.6285374501818105,0.5632861573445169,0.06903023359022642,0.05997358999754254,0.07751574422183793,bca,True,4802.0,2.294625494568624e-16,greater,0.9402020202020202,99,True,False,1.147312747284312e-15,True,True
Qwen-MediCare-BD,bertscore_f1_mean,Q4_K_M,Q3_K_M,99,0.6254082762881329,0.5632861573445169,0.06334966405441889,0.04835780121778188,0.07616989502781313,bca,True,4784.0,3.843567400441668e-16,greater,0.9329292929292929,99,True,False,1.5374269601766671e-15,True,True
Gemma-3-4B-it,rougeL_f1_mean,Q6_K,Q5_K_M,91,0.5003673673823377,0.4828475334283872,0.007710238565735716,-0.0005113202099699121,0.022569251752906694,bca,False,2467.0,0.06940236204992081,greater,0.17869087434304826,91,True,False,0.06940236204992081,False,True
Gemma-3-4B-it,rougeL_f1_mean,Q6_K,Q4_K_M,91,0.5003673673823377,0.4541678581194057,0.03674159751559353,0.008664521626502775,0.05582036995965811,bca,True,3106.0,3.0441937073351988e-05,greater,0.48399426660296224,91,True,False,0.00012176774829340795,True,True
Gemma-3-4B-it,rougeL_f1_mean,Q6_K,Q3_K_M,91,0.5003673673823377,0.4350447267241239,0.05405374302314431,0.03407230458796329,0.06740362921112192,bca,True,3708.0,8.18552826587221e-11,greater,0.7716196846631629,91,True,False,4.911316959523326e-10,True,True
Gemma-3-4B-it,rougeL_f1_mean,Q5_K_M,Q4_K_M,91,0.4828475334283872,0.4541678581194057,0.01996910167195476,0.0012544836703237694,0.03591596833150296,bca,True,2804.0,0.002445920331354246,greater,0.33970377448638317,91,True,False,0.004891840662708492,True,True
Gemma-3-4B-it,rougeL_f1_mean,Q5_K_M,Q3_K_M,91,0.4828475334283872,0.4350447267241239,0.04039329458434937,0.029164002947258516,0.056258434662546875,bca,True,3557.0,3.428818983491339e-09,greater,0.6994744386048733,91,True,False,1.7144094917456694e-08,True,True
Gemma-3-4B-it,rougeL_f1_mean,Q4_K_M,Q3_K_M,91,0.4541678581194057,0.4350447267241239,0.030850589194416078,0.01003164389740907,0.041115846935959766,bca,True,3014.0,0.0001335756832720218,greater,0.4400382226469183,91,True,False,0.00040072704981606536,True,True
Phi-4-mini-instruct,rougeL_f1_mean,Q6_K,Q5_K_M,100,0.2438862889680026,0.23616620024256985,0.0077506047995711536,0.005201676979010653,0.01215343238044539,bca,True,3823.0,4.042028224450656e-06,greater,0.5140594059405941,100,True,False,2.4252169346703934e-05,True,True
Phi-4-mini-instruct,rougeL_f1_mean,Q6_K,Q4_K_M,100,0.2438862889680026,0.2328927355372748,0.009183573236874007,0.0030088810101516483,0.012362643211213026,bca,True,3547.0,0.00022073300395570103,greater,0.4047524752475248,100,True,False,0.0011036650197785052,True,True
Phi-4-mini-instruct,rougeL_f1_mean,Q6_K,Q3_K_M,100,0.2438862889680026,0.25494713156979065,0.0009908111663726044,-0.011316105773497398,0.010759504613395143,bca,False,2483.0,0.5574114988641581,greater,-0.016633663366336635,100,True,False,1.0,False,True
Phi-4-mini-instruct,rougeL_f1_mean,Q5_K_M,Q4_K_M,100,0.23616620024256985,0.2328927355372748,0.0036559336657852604,-0.007805334246835813,0.007891331882094343,bca,False,2479.0,0.5628357982434301,greater,-0.018217821782178217,100,True,False,1.0,False,True
Phi-4-mini-instruct,rougeL_f1_mean,Q5_K_M,Q3_K_M,100,0.23616620024256985,0.25494713156979065,-0.0073911647010181936,-0.014210563854440417,-0.0022009866987111465,bca,True,1667.0,0.998411555678472,greater,-0.3398019801980198,100,True,False,1.0,False,False
Phi-4-mini-instruct,rougeL_f1_mean,Q4_K_M,Q3_K_M,100,0.2328927355372748,0.25494713156979065,-0.0087442293560889,-0.014643689312111602,-0.0011717060960150932,bca,True,1648.0,0.9987168433123349,greater,-0.3473267326732673,100,True,False,1.0,False,False
Qwen-MediCare-BD,rougeL_f1_mean,Q6_K,Q5_K_M,99,0.2293652858234581,0.2047798089544052,0.0186975479675332,0.009957140176074297,0.027816319059973504,bca,True,3899.0,3.3446655862102075e-07,greater,0.5753535353535354,99,True,False,1.0033996758630622e-06,True,True
Qwen-MediCare-BD,rougeL_f1_mean,Q6_K,Q4_K_M,99,0.2293652858234581,0.2050364730692183,0.019785578204472604,0.007583146113246814,0.0314579771382939,bca,True,3674.0,1.4267255819412236e-05,greater,0.48444444444444446,99,True,False,2.8534511638824472e-05,True,True
Qwen-MediCare-BD,rougeL_f1_mean,Q6_K,Q3_K_M,99,0.2293652858234581,0.1643427158538561,0.06985879656306851,0.055747434204758,0.09352225954139459,bca,True,4438.0,3.655542925827741e-12,greater,0.7931313131313131,99,True,False,2.1933257554966448e-11,True,True
Qwen-MediCare-BD,rougeL_f1_mean,Q5_K_M,Q4_K_M,99,0.2047798089544052,0.2050364730692183,-0.0003058829944118102,-0.009879858683884413,0.011188360923793494,bca,False,2436.0,0.5541373058887394,greater,-0.01575757575757576,99,True,False,0.5541373058887394,False,True
Qwen-MediCare-BD,rougeL_f1_mean,Q5_K_M,Q3_K_M,99,0.2047798089544052,0.1643427158538561,0.05339245422998232,0.03171856394930969,0.06405399602632522,bca,True,4143.0,2.9108011960500185e-09,greater,0.673939393939394,99,True,False,1.4554005980250093e-08,True,True
Qwen-MediCare-BD,rougeL_f1_mean,Q4_K_M,Q3_K_M,99,0.2050364730692183,0.1643427158538561,0.0450997510683739,0.02417804942550661,0.05860451329889271,bca,True,4009.0,4.29905760991834e-08,greater,0.6197979797979798,99,True,False,1.719623043967336e-07,True,True
Gemma-3-4B-it,medcon_f1_mean,Q6_K,Q5_K_M,91,0.6807592316865,0.6761676593979568,0.011593773932974338,-0.0033384739960576892,0.021594137530120072,bca,False,2399.0,0.1129248600445063,greater,0.14620162446249402,91,True,False,0.1129248600445063,False,True
Gemma-3-4B-it,medcon_f1_mean,Q6_K,Q4_K_M,91,0.6807592316865,0.6581277308222323,0.024109371592700435,0.005668982532186284,0.030263855546335816,bca,True,3015.0,0.00013153462514292488,greater,0.44051600573339705,91,True,False,0.0005261385005716995,True,True
Gemma-3-4B-it,medcon_f1_mean,Q6_K,Q3_K_M,91,0.6807592316865,0.6512206992892698,0.024410315609465605,0.014455225685269357,0.039376426876250537,bca,True,3495.0,1.4366715909314794e-08,greater,0.6698518872431916,91,True,False,8.620029545588876e-08,True,True
Gemma-3-4B-it,medcon_f1_mean,Q5_K_M,Q4_K_M,91,0.6761676593979568,0.6581277308222323,0.014390051489088673,-0.0006901793031992565,0.031782115961952906,bca,False,2767.0,0.0038194325924304955,greater,0.3220258002866698,91,True,False,0.011458297777291487,True,False
Gemma-3-4B-it,medcon_f1_mean,Q5_K_M,Q3_K_M,91,0.6761676593979568,0.6512206992892698,0.02929070997950889,0.0216647056800503,0.04158851162710375,bca,True,3265.0,1.753328377582986e-06,greater,0.5599617773530817,91,True,False,8.76664188791493e-06,True,True
Gemma-3-4B-it,medcon_f1_mean,Q4_K_M,Q3_K_M,91,0.6581277308222323,0.6512206992892698,0.01039953392857007,0.0039697683624821956,0.0167939889794132,bca,True,2605.0,0.021359456965713945,greater,0.24462494027711418,91,True,False,0.04271891393142789,True,True
Phi-4-mini-instruct,medcon_f1_mean,Q6_K,Q5_K_M,100,0.4476179268123802,0.4345592404304805,0.006964213732660096,-0.003978048192016526,0.01495733126035459,bca,False,3246.0,0.006586970401264173,greater,0.2855445544554455,100,True,False,0.013173940802528346,True,False
Phi-4-mini-instruct,medcon_f1_mean,Q6_K,Q4_K_M,100,0.4476179268123802,0.4246412160303916,0.01313427028072306,0.0068540869226355605,0.03075373952542959,bca,True,3577.0,0.00014895091035834412,greater,0.4166336633663366,100,True,False,0.0005958036414333765,True,True
Phi-4-mini-instruct,medcon_f1_mean,Q6_K,Q3_K_M,100,0.4476179268123802,0.4047982858497251,0.036393944442883575,0.02595727332121517,0.04815611950482923,bca,True,4330.0,2.7144629237339035e-10,greater,0.7148514851485148,100,True,False,1.628677754240342e-09,True,True
Phi-4-mini-instruct,medcon_f1_mean,Q5_K_M,Q4_K_M,100,0.4345592404304805,0.4246412160303916,0.00654206160377363,-0.007349948945901463,0.015924622211961503,bca,False,2980.0,0.05885739428936204,greater,0.1801980198019802,100,True,False,0.05885739428936204,False,True
Phi-4-mini-instruct,medcon_f1_mean,Q5_K_M,Q3_K_M,100,0.4345592404304805,0.4047982858497251,0.031348815638640226,0.012469520942380435,0.041630005530785,bca,True,3804.0,5.472282489411222e-06,greater,0.5065346534653465,100,True,False,2.736141244705611e-05,True,True
Phi-4-mini-instruct,medcon_f1_mean,Q4_K_M,Q3_K_M,100,0.4246412160303916,0.4047982858497251,0.017543487473277553,0.010635393306670182,0.026913211865507186,bca,True,3487.0,0.0004703804896368153,greater,0.380990099009901,100,True,False,0.001411141468910446,True,True
Qwen-MediCare-BD,medcon_f1_mean,Q6_K,Q5_K_M,99,0.3459565686168435,0.3117318081300658,0.014226796841736666,0.002497847848071305,0.04288030967699441,bca,True,3584.0,5.42546582598065e-05,greater,0.4480808080808081,99,True,False,0.00027127329129903247,True,True
Qwen-MediCare-BD,medcon_f1_mean,Q6_K,Q4_K_M,99,0.3459565686168435,0.3260453501770338,0.01144990001436652,-0.002144842756497567,0.027792936847500282,bca,False,3070.0,0.018913593142337818,greater,0.2404040404040404,99,True,False,0.037827186284675636,True,False
Qwen-MediCare-BD,medcon_f1_mean,Q6_K,Q3_K_M,99,0.3459565686168435,0.2579140516599139,0.07892801777081121,0.05102638918665789,0.09645417442637035,bca,True,3808.0,1.639226138214112e-06,greater,0.5385858585858586,99,True,False,9.835356829284672e-06,True,True
Qwen-MediCare-BD,medcon_f1_mean,Q5_K_M,Q4_K_M,99,0.3117318081300658,0.3260453501770338,-0.014831112493285115,-0.03945217637949999,0.002832681048644037,bca,False,1902.0,0.9772464147217015,greater,-0.2315151515151515,99,True,False,0.9772464147217015,False,True
Qwen-MediCare-BD,medcon_f1_mean,Q5_K_M,Q3_K_M,99,0.3117318081300658,0.2579140516599139,0.052880692282046005,0.001253974648147027,0.08146764151637242,bca,True,3231.0,0.004161732015103179,greater,0.3054545454545455,99,True,False,0.012485196045309536,True,True
Qwen-MediCare-BD,medcon_f1_mean,Q4_K_M,Q3_K_M,99,0.3260453501770338,0.2579140516599139,0.06485485054975182,0.017035177676147678,0.08959946462924562,bca,True,3575.0,6.168808373864884e-05,greater,0.4444444444444444,99,True,False,0.00027127329129903247,True,True
Gemma-3-4B-it,numeric_jaccard_mean,Q6_K,Q5_K_M,91,0.6921052631578948,0.6894736842105263,0.0,0.0,0.016754385964912633,bca,False,2291.5,0.12154247312872918,greater,0.12214611872146118,72,True,False,0.24308494625745836,False,True
Gemma-3-4B-it,numeric_jaccard_mean,Q6_K,Q4_K_M,91,0.6921052631578948,0.6052631578947368,0.013157894736842146,0.0,0.049860066833751104,bca,False,2721.5,0.0028479037907516674,greater,0.3821052631578947,75,True,False,0.017087422744510004,True,False
Gemma-3-4B-it,numeric_jaccard_mean,Q6_K,Q3_K_M,91,0.6921052631578948,0.63859649122807,0.018333333333333313,0.0,0.06842105263157894,bca,False,2565.5,0.021327911355298497,greater,0.26677215189873416,79,True,False,0.08531164542119399,False,True
Gemma-3-4B-it,numeric_jaccard_mean,Q5_K_M,Q4_K_M,91,0.6894736842105263,0.6052631578947368,0.0,-0.018421052631578894,0.060263157894736796,bca,False,2611.0,0.011833269480229495,greater,0.31934731934731936,77,True,False,0.05916634740114748,False,True
Gemma-3-4B-it,numeric_jaccard_mean,Q5_K_M,Q3_K_M,91,0.6894736842105263,0.63859649122807,0.0,-0.04295252940908733,0.0363157894736843,bca,False,2456.5,0.05246643445801503,greater,0.21486530347289842,78,True,False,0.1573993033740451,False,True
Gemma-3-4B-it,numeric_jaccard_mean,Q4_K_M,Q3_K_M,91,0.6052631578947368,0.63859649122807,-0.014312865497076055,-0.034649122807017485,0.0,bca,False,1768.5,0.8656439027189248,greater,-0.11359948068808828,78,True,False,0.8656439027189248,False,True
Phi-4-mini-instruct,numeric_jaccard_mean,Q6_K,Q5_K_M,100,0.5241697994987469,0.5489912280701754,0.01429824561403515,0.0,0.02929824561403499,bca,False,2882.0,0.09856621784079295,greater,0.14913510986442263,92,True,False,0.5913973070447577,False,True
Phi-4-mini-instruct,numeric_jaccard_mean,Q6_K,Q4_K_M,100,0.5241697994987469,0.6043859649122807,0.0,-0.05482456140350883,0.026842105263158,bca,False,1992.5,0.9651469347693105,greater,-0.22487113402061856,96,True,False,1.0,False,True
Phi-4-mini-instruct,numeric_jaccard_mean,Q6_K,Q3_K_M,100,0.5241697994987469,0.5784649122807017,-0.028330200501253178,-0.06929824561403503,0.0,bca,False,1771.0,0.9943192906905358,greater,-0.302945301542777,92,True,False,1.0,False,True
Phi-4-mini-instruct,numeric_jaccard_mean,Q5_K_M,Q4_K_M,100,0.5489912280701754,0.6043859649122807,-0.030263157894736853,-0.0710526315789474,0.0,bca,False,1749.0,0.9957611100834236,greater,-0.3213885778275476,94,True,False,1.0,False,True
Phi-4-mini-instruct,numeric_jaccard_mean,Q5_K_M,Q3_K_M,100,0.5489912280701754,0.5784649122807017,-0.07173489278752435,-0.11311403508771938,-0.022149122807017585,bca,True,1522.5,0.9996885321803087,greater,-0.40021929824561403,95,True,False,1.0,False,False
Phi-4-mini-instruct,numeric_jaccard_mean,Q4_K_M,Q3_K_M,100,0.6043859649122807,0.5784649122807017,-0.050000000000000044,-0.07543859649122808,0.0,bca,False,1934.0,0.9756260096825381,greater,-0.23422159887798036,92,True,False,1.0,False,True
Qwen-MediCare-BD,numeric_jaccard_mean,Q6_K,Q5_K_M,99,0.1780701754385965,0.1100298239771924,0.011885964912280694,-0.011052631578947293,0.03414786967418551,bca,False,3008.0,0.03141981806360945,greater,0.21535353535353535,99,True,False,0.18851890838165672,False,True
Qwen-MediCare-BD,numeric_jaccard_mean,Q6_K,Q4_K_M,99,0.1780701754385965,0.1873019670388091,-0.0103508771929825,-0.032725184172552595,0.0247152408994514,bca,False,2317.0,0.7093427923958612,greater,-0.06383838383838383,99,True,False,1.0,False,True
Qwen-MediCare-BD,numeric_jaccard_mean,Q6_K,Q3_K_M,99,0.1780701754385965,0.4631578947368421,-0.19301764025448243,-0.2576315789473685,-0.14566378066378077,bca,True,367.0,0.9999999999999063,greater,-0.8517171717171718,99,True,False,1.0,False,False
Qwen-MediCare-BD,numeric_jaccard_mean,Q5_K_M,Q4_K_M,99,0.1100298239771924,0.1873019670388091,-0.05265664160401001,-0.0958208020050126,-0.0062383230804283,bca,True,1543.0,0.9994289321853573,greater,-0.37656565656565655,99,True,False,1.0,False,False
Qwen-MediCare-BD,numeric_jaccard_mean,Q5_K_M,Q3_K_M,99,0.1100298239771924,0.4631578947368421,-0.24921470342522972,-0.33155121194594883,-0.19210526315789478,bca,True,218.0,0.9999999999999983,greater,-0.9119191919191919,99,True,False,1.0,False,False
Qwen-MediCare-BD,numeric_jaccard_mean,Q4_K_M,Q3_K_M,99,0.1873019670388091,0.4631578947368421,-0.19620979897295693,-0.2724035613509298,-0.1233501732185943,bca,True,711.0,0.9999999996290192,greater,-0.7127272727272728,99,True,False,1.0,False,False
Gemma-3-4B-it,nli_contradiction_max_mean,Q6_K,Q5_K_M,91,0.975603574171455,0.9680876246537752,-0.00024383049155141112,-0.0024441505702880173,0.0020329921623317704,bca,False,2169.0,0.6182168197131438,less,0.036311514572384136,91,False,False,1.0,False,True
Gemma-3-4B-it,nli_contradiction_max_mean,Q6_K,Q4_K_M,91,0.975603574171455,0.9683793619373556,0.0023711828547767766,-0.0022216251960471833,0.009593385641138763,bca,False,2584.0,0.9740119594186604,less,0.23459149546106067,91,False,False,1.0,False,True
Gemma-3-4B-it,nli_contradiction_max_mean,Q6_K,Q3_K_M,91,0.975603574171455,0.9467391688941812,0.016587134956044802,0.012789885184949057,0.024815697101421397,bca,True,3254.0,0.9999978375894321,less,0.5547061634018156,91,False,False,1.0,False,False
Gemma-3-4B-it,nli_contradiction_max_mean,Q5_K_M,Q4_K_M,91,0.9680876246537752,0.9683793619373556,0.0009586997354682492,-0.0012846532972443647,0.006671913930359263,bca,False,2498.0,0.945527362522,less,0.19350215002388915,91,False,False,1.0,False,True
Gemma-3-4B-it,nli_contradiction_max_mean,Q5_K_M,Q3_K_M,91,0.9680876246537752,0.9467391688941812,0.02251567496981799,0.01633821936954183,0.028202443184673798,bca,True,3098.0,0.9999652067898146,less,0.48017200191113235,91,False,False,1.0,False,False
Gemma-3-4B-it,nli_contradiction_max_mean,Q4_K_M,Q3_K_M,91,0.9683793619373556,0.9467391688941812,0.01599242095420539,0.00517239115483159,0.02367519146050967,bca,True,2483.0,0.9386553441781128,less,0.18633540372670807,91,False,False,1.0,False,False
Phi-4-mini-instruct,nli_contradiction_max_mean,Q6_K,Q5_K_M,100,0.5342687519539877,0.5384534781495189,0.013324894172207669,-0.03285117510108454,0.035177837402158074,bca,False,2657.0,0.6750347990829105,less,0.052277227722772275,100,False,False,1.0,False,True
Phi-4-mini-instruct,nli_contradiction_max_mean,Q6_K,Q4_K_M,100,0.5342687519539877,0.48136064408341206,0.03617678815702363,0.008809570925451787,0.05917570628966762,bca,True,3571.0,0.9998387286398166,less,0.41425742574257424,100,False,False,1.0,False,False
Phi-4-mini-instruct,nli_contradiction_max_mean,Q6_K,Q3_K_M,100,0.5342687519539877,0.4873851984944747,0.03698501894895162,0.01633029381770751,0.06521573190866486,bca,True,3340.0,0.9974625034633747,less,0.3227722772277228,100,False,False,1.0,False,False
Phi-4-mini-instruct,nli_contradiction_max_mean,Q5_K_M,Q4_K_M,100,0.5384534781495189,0.48136064408341206,0.040070751121214165,0.013631570628177325,0.06063869443196723,bca,True,3529.0,0.9997218567021732,less,0.39762376237623764,100,False,False,1.0,False,False
Phi-4-mini-instruct,nli_contradiction_max_mean,Q5_K_M,Q3_K_M,100,0.5384534781495189,0.4873851984944747,0.028902171731216633,-0.0016864276982287985,0.045596053875668674,bca,False,3229.0,0.9922521300831185,less,0.27881188118811884,100,False,False,1.0,False,True
Phi-4-mini-instruct,nli_contradiction_max_mean,Q4_K_M,Q3_K_M,100,0.48136064408341206,0.4873851984944747,-0.008563557685134282,-0.025468222680573194,0.012870357458809212,bca,False,2304.0,0.22366621040844825,less,-0.08752475247524752,100,False,False,1.0,False,True
Qwen-MediCare-BD,nli_contradiction_max_mean,Q6_K,Q5_K_M,99,0.5678667447854348,0.526487847573327,0.0583227095783343,0.020066594068359866,0.07455544399164482,bca,True,3555.0,0.99991821679222,less,0.43636363636363634,99,False,False,0.99991821679222,False,False
Qwen-MediCare-BD,nli_contradiction_max_mean,Q6_K,Q4_K_M,99,0.5678667447854348,0.6404357222892267,-0.06382850794874384,-0.09722675667296654,-0.01936570050629005,bca,True,1276.0,1.4267255819412236e-05,less,-0.48444444444444446,99,False,False,4.280176745823671e-05,True,True
Qwen-MediCare-BD,nli_contradiction_max_mean,Q6_K,Q3_K_M,99,0.5678667447854348,0.6774601036227077,-0.0937884334513931,-0.1129184435631404,-0.04368442041524989,bca,True,1165.0,2.4122327711177794e-06,less,-0.5292929292929293,99,False,False,9.648931084471118e-06,True,True
Qwen-MediCare-BD,nli_contradiction_max_mean,Q5_K_M,Q4_K_M,99,0.526487847573327,0.6404357222892267,-0.1299056777989146,-0.16994280115106047,-0.08328439244739516,bca,True,754.0,9.46169316560554e-10,less,-0.6953535353535354,99,False,False,4.73084658280277e-09,True,True
Qwen-MediCare-BD,nli_contradiction_max_mean,Q5_K_M,Q3_K_M,99,0.526487847573327,0.6774601036227077,-0.15141373412620207,-0.19075162485694486,-0.1007297208485356,bca,True,553.0,9.842747850861544e-12,less,-0.7765656565656566,99,False,False,5.905648710516926e-11,True,True
Qwen-MediCare-BD,nli_contradiction_max_mean,Q4_K_M,Q3_K_M,99,0.6404357222892267,0.6774601036227077,-0.039830187639463666,-0.09918494334751149,0.031500845806565314,bca,False,1984.0,0.04328895270861718,less,-0.19838383838383838,99,False,False,0.08657790541723435,False,True
Gemma-3-4B-it,nli_contradiction_mean_mean,Q6_K,Q5_K_M,91,0.2094858144518735,0.2092698576567776,-0.004243026612974599,-0.010162011081928699,0.0006677150471898208,bca,False,1995.0,0.3490543513976315,less,-0.046822742474916385,91,False,False,1.0,False,True
Gemma-3-4B-it,nli_contradiction_mean_mean,Q6_K,Q4_K_M,91,0.2094858144518735,0.2077163422096221,0.009154588867371916,-2.07390406764818e-05,0.017010226161441516,bca,False,2743.0,0.9949536767770607,less,0.3105590062111801,91,False,False,1.0,False,True
Gemma-3-4B-it,nli_contradiction_mean_mean,Q6_K,Q3_K_M,91,0.2094858144518735,0.1787421829025578,0.026151206558662876,0.016016993886623004,0.03772223990108278,bca,True,3555.0,0.999999996405707,less,0.6985188724319159,91,False,False,1.0,False,False
Gemma-3-4B-it,nli_contradiction_mean_mean,Q5_K_M,Q4_K_M,91,0.2092698576567776,0.2077163422096221,0.009749109402460099,-0.0026274675108106937,0.022621543825404405,bca,False,2725.0,0.9938147709219364,less,0.3019589106545628,91,False,False,1.0,False,True
Gemma-3-4B-it,nli_contradiction_mean_mean,Q5_K_M,Q3_K_M,91,0.2092698576567776,0.1787421829025578,0.030864773190270506,0.019932811793494487,0.0386913983002172,bca,True,3444.0,0.999999955320302,less,0.6454849498327759,91,False,False,1.0,False,False
Gemma-3-4B-it,nli_contradiction_mean_mean,Q4_K_M,Q3_K_M,91,0.2077163422096221,0.1787421829025578,0.022870254388308697,0.012539619627999599,0.0276928734706597,bca,True,2939.0,0.9995935849565925,less,0.4042044911610129,91,False,False,1.0,False,False
Phi-4-mini-instruct,nli_contradiction_mean_mean,Q6_K,Q5_K_M,100,0.1019193244080297,0.1012563287515342,0.0032757934076406564,-0.00027334436490485114,0.006599617843338096,bca,False,2699.0,0.7251696119245452,less,0.06891089108910892,100,False,False,1.0,False,True
Phi-4-mini-instruct,nli_contradiction_mean_mean,Q6_K,Q4_K_M,100,0.1019193244080297,0.08935879738540645,0.008503432169710248,0.002458300866336846,0.011615836308678143,bca,True,3390.0,0.9985309976653832,less,0.3425742574257426,100,False,False,1.0,False,False
Phi-4-mini-instruct,nli_contradiction_mean_mean,Q6_K,Q3_K_M,100,0.1019193244080297,0.0980140633832476,-0.0016561003219812617,-0.012376975580085596,0.0022520646913027076,bca,False,2083.0,0.0642882197712759,less,-0.17504950495049504,100,False,False,0.2571528790851036,False,True
