input_id,model,quant_level,n_pairs,n_skipped_pairs,nli_contradiction_max_mean,nli_contradiction_max_mean_std,nli_contradiction_mean_mean,nli_contradiction_mean_mean_std,nli_contradiction_q90_mean,nli_contradiction_q90_mean_std
MAIN-077,Gemma-3-4B-it,Q4_K_M,190,0,0.9934371662578032,0.0111710580586288,0.2482304443973501,0.0363392573318271,0.8776094006126703,0.0675757603468031
MAIN-077,Gemma-3-4B-it,Q5_K_M,190,0,0.988004315731756,0.0178704074533292,0.2791924051936771,0.0506407992977371,0.8886300055026788,0.0743799835946821
MAIN-077,Gemma-3-4B-it,Q6_K,190,0,0.99580834911258,0.0093363635826842,0.2798601202408669,0.0350668399756252,0.926353744733529,0.0457592398886629
MAIN-077,Phi-4-mini-instruct,Q3_K_M,190,0,0.4579742296745591,0.2546329773243292,0.0991813434568124,0.0687240959068893,0.278315470281089,0.1894750047190733
MAIN-077,Phi-4-mini-instruct,Q4_K_M,190,0,0.5332008299995264,0.2396239158025596,0.0979638614986168,0.0514091894396995,0.2761244143969243,0.162523277587959
MAIN-077,Phi-4-mini-instruct,Q5_K_M,190,0,0.4977233029089569,0.2371059029475442,0.1124680368618251,0.0727532576607451,0.3012229983636334,0.1946980169124608
MAIN-077,Phi-4-mini-instruct,Q6_K,190,0,0.5662697121262519,0.2427119930863514,0.1014334081481151,0.0449135292741806,0.2904583672240978,0.1583604995120719
MAIN-077,Qwen-MediCare-BD,Q3_K_M,190,0,0.7110978206914731,0.2025477217914469,0.195705340933834,0.0921619853160681,0.514641193226958,0.2139649857731571
MAIN-077,Qwen-MediCare-BD,Q4_K_M,190,0,0.3640949535422157,0.2735682948342348,0.1253130805535645,0.0998323961536506,0.2809544146931484,0.2181469647640462
MAIN-077,Qwen-MediCare-BD,Q5_K_M,190,0,0.2787436040642788,0.3398019390907696,0.0808664119352467,0.1052212461835087,0.1982163233393506,0.2504093005971198
MAIN-077,Qwen-MediCare-BD,Q6_K,190,0,0.4232141401692676,0.359236983166004,0.2062987654756645,0.2106605011061738,0.3577990558125849,0.3128965151586065
MAIN-078,Gemma-3-4B-it,Q3_K_M,190,0,0.9731073598292616,0.0221230345471645,0.2588552642188505,0.0298043723137805,0.8235659022699408,0.0580058109289688
MAIN-078,Gemma-3-4B-it,Q4_K_M,190,0,0.949928277646318,0.0503615874648659,0.225455203998679,0.0371322855184031,0.7366025429955285,0.0960935800252285
MAIN-078,Gemma-3-4B-it,Q5_K_M,190,0,0.8933184683332617,0.0691404731252133,0.1948371470914168,0.0376945359667699,0.6635336047099617,0.1062405197808226
MAIN-078,Gemma-3-4B-it,Q6_K,190,0,0.9848623319083444,0.0146758313173044,0.2987017354950076,0.0285441100480425,0.8819070308606035,0.0407894227048255
MAIN-078,Phi-4-mini-instruct,Q3_K_M,190,0,0.7174755975735987,0.1379899481703635,0.1648908275834475,0.0404448875318858,0.4948152920048663,0.1272453675344448
MAIN-078,Phi-4-mini-instruct,Q4_K_M,190,0,0.7118586819694264,0.1665309783436133,0.1613818996016187,0.057075595009616,0.4681376048990606,0.1577861377370854
