input_id,model,quant_level,n_pairs,n_skipped_pairs_x,bertscore_f1_mean,bertscore_f1_std,rougeL_f1_mean,rougeL_f1_std,n_skipped_pairs_y,medcon_f1_mean,medcon_f1_std,mean_cui_count,n_skipped_numeric,numeric_jaccard_mean,numeric_jaccard_std,mean_fact_count
MAIN-028,Gemma-3-4B-it,Q5_K_M,190,0,0.8325126252676311,0.02368095489941408,0.5678084479482488,0.07084849936426316,0,0.7689264310619753,0.06347786676813252,96.0,0,1.0,0.0,0.0
MAIN-028,Gemma-3-4B-it,Q6_K,190,0,0.8018108628298107,0.030869357638650705,0.49568328535213885,0.08794878253448277,0,0.6653787126948467,0.10021311582232315,108.4,0,0.5578947368421052,0.49794900981352397,0.7
MAIN-028,Phi-4-mini-instruct,Q3_K_M,190,0,0.6625112495924297,0.03663138203038754,0.24534335399634266,0.061066380859783796,0,0.353223437151296,0.12301059685704482,69.65,0,0.9,0.30079260375911915,0.05
MAIN-028,Phi-4-mini-instruct,Q4_K_M,190,0,0.684808855935147,0.04891249096267662,0.28850505278525307,0.09197207301766026,0,0.4186310165526554,0.1640101645050912,72.05,0,0.9,0.30079260375911915,0.05
MAIN-028,Phi-4-mini-instruct,Q5_K_M,190,0,0.6862168842240384,0.05267786289130141,0.29685225119675596,0.07533266459196225,0,0.4469794483794806,0.12491238214480911,79.25,0,0.9,0.30079260375911915,0.05
MAIN-028,Phi-4-mini-instruct,Q6_K,190,0,0.693554436219366,0.041303459796770796,0.3023569897807583,0.07363111157115988,0,0.480484445074406,0.12475234615838907,84.85,0,1.0,0.0,0.0
MAIN-028,Qwen-MediCare-BD,Q3_K_M,190,0,0.5701690749118202,0.0630488768475671,0.18277823945553856,0.08437808078293214,0,0.230514537813476,0.14457848638302465,57.2,0,0.19710526315789476,0.3917042242885238,1.15
MAIN-028,Qwen-MediCare-BD,Q4_K_M,190,0,0.6476875248708223,0.046952587724842974,0.24706936853576525,0.06925850156289219,0,0.309135441754547,0.13839222647300625,75.3,0,0.24622807017543857,0.42825467888837976,1.15
MAIN-028,Qwen-MediCare-BD,Q5_K_M,190,0,0.6231820247675243,0.06147600043397019,0.20626318754825804,0.08449014128864009,0,0.21673494697910223,0.12439234782517347,79.7,0,0.42131578947368425,0.48866369240626245,0.95
MAIN-028,Qwen-MediCare-BD,Q6_K,190,0,0.6209763547307566,0.04550775976824802,0.2061255574625163,0.07796075543648606,0,0.3014949878762805,0.13638403837093288,77.6,0,0.3156140350877193,0.450620517543066,1.0
MAIN-029,Gemma-3-4B-it,Q3_K_M,190,0,0.8107312152260229,0.022120093338147885,0.555690753588308,0.05196090291515399,0,0.6470047832735822,0.06520389690042477,118.6,0,0.5105263157894737,0.5012098978847859,0.3
MAIN-029,Gemma-3-4B-it,Q4_K_M,190,0,0.7928637683391571,0.041435079327371824,0.5237532570582163,0.0830796320139452,0,0.6653397636725001,0.08397220295317762,112.8,0,0.4368421052631579,0.48108181257149885,0.5
MAIN-029,Gemma-3-4B-it,Q5_K_M,190,0,0.8273582047537753,0.03647612509162425,0.5923223052745724,0.09616827469029142,0,0.7135641719453543,0.07427793477376975,109.15,0,0.6473684210526316,0.4790515553135042,0.2
MAIN-029,Gemma-3-4B-it,Q6_K,190,0,0.8618789305812434,0.029409480723470677,0.679800884787949,0.06454983752171597,0,0.7235950647668535,0.08265693016461488,108.2,0,0.8105263157894737,0.3929197945030012,0.1
MAIN-029,Phi-4-mini-instruct,Q3_K_M,190,0,0.6885636837858903,0.04239028114870933,0.2502392594168968,0.05823442993295611,0,0.35442135670457836,0.13451914139729246,53.2,0,0.1,0.29186501192363773,0.95
MAIN-029,Phi-4-mini-instruct,Q4_K_M,190,0,0.6739434047749168,0.03964866269154123,0.25452845632932597,0.04639573625724495,0,0.39256680586682946,0.10742226291528005,68.6,0,0.23333333333333334,0.409972683737508,0.65
MAIN-029,Phi-4-mini-instruct,Q5_K_M,190,0,0.7112869999910656,0.03299520283423983,0.27586296122290604,0.05791436061166761,0,0.3681474110738935,0.11475178273072069,60.7,0,0.3684210526315789,0.4836508334066744,0.45
MAIN-029,Phi-4-mini-instruct,Q6_K,190,0,0.7007629749022032,0.03604712011348164,0.2602660828337964,0.06772106398386597,0,0.311842907308426,0.12391586374380814,48.45,0,0.4421052631578947,0.49794900981352397,0.35
MAIN-029,Qwen-MediCare-BD,Q3_K_M,190,0,0.5123547800277409,0.0843185690305861,0.10777039913153073,0.056128374008852275,0,0.15619481814267622,0.14599929246118168,38.2,0,0.412280701754386,0.49205450895043984,0.9
MAIN-029,Qwen-MediCare-BD,Q4_K_M,190,0,0.7193131129992636,0.0816710077234861,0.3381191057007907,0.1334148787338286,0,0.428524674259168,0.15610952628346764,43.9,0,0.2649122807017544,0.4381127937107012,0.65
MAIN-029,Qwen-MediCare-BD,Q5_K_M,190,0,0.6187408332761966,0.08716614730616074,0.22534713685367583,0.09900749261793727,0,0.24929754030250578,0.14642583902255404,70.85,0,0.0761967418546366,0.17562320143095192,2.25
MAIN-029,Qwen-MediCare-BD,Q6_K,190,0,0.7074784733747181,0.04198279529935268,0.2982903117781776,0.08035358580668626,0,0.37214209789557307,0.11351859782989263,46.65,0,0.0930701754385965,0.22884365605728407,1.7
MAIN-030,Gemma-3-4B-it,Q3_K_M,190,0,0.818188256339023,0.028360214123670516,0.5250813790604806,0.09405573186514483,0,0.7369094104880168,0.05612899836547836,106.65,0,0.7184210526315788,0.2624554348577375,1.65
MAIN-030,Gemma-3-4B-it,Q4_K_M,190,0,0.8048469894810727,0.022168376386578623,0.561759096673301,0.05818801040750071,0,0.7484568650484128,0.04737241226180949,108.3,0,0.6526315789473685,0.4338439251371927,0.95
MAIN-030,Gemma-3-4B-it,Q5_K_M,190,0,0.8177222289537128,0.03442022985496261,0.5520776391570383,0.08203540766930326,0,0.7443976032279152,0.061438631437999464,103.4,0,0.49473684210526314,0.501293231478825,0.6
MAIN-030,Gemma-3-4B-it,Q6_K,190,0,0.8130933818064238,0.02775449884583861,0.5212918904716016,0.06288092058275446,0,0.7356669561969327,0.05042467132088417,106.55,0,0.5210526315789473,0.5008764248619175,0.65
MAIN-030,Phi-4-mini-instruct,Q3_K_M,190,0,0.6578385804828845,0.05675017169465281,0.2726884210890911,0.05681173583793328,0,0.44458364798833555,0.10142016922603432,49.95,0,0.643859649122807,0.3253998818040128,1.35
MAIN-030,Phi-4-mini-instruct,Q4_K_M,190,0,0.6564558063682757,0.04283344976309836,0.2564651093888284,0.04611475938090236,0,0.462873780579588,0.10309423143779485,70.2,0,0.7122807017543861,0.25423179726200634,1.55
MAIN-030,Phi-4-mini-instruct,Q5_K_M,190,0,0.6605296495713686,0.04023073176324456,0.2593007708499846,0.0536031462263724,0,0.454166625718321,0.10471160020437706,61.7,0,0.7043859649122808,0.2581045015554686,1.55
MAIN-030,Phi-4-mini-instruct,Q6_K,190,0,0.6676822458442889,0.035766093513846554,0.2648332823110221,0.043658985586929426,0,0.4446082264155499,0.08993090327771955,70.5,0,0.8315789473684211,0.2369395511036369,1.8
MAIN-030,Qwen-MediCare-BD,Q3_K_M,190,0,0.5705389455745095,0.06267960007191577,0.19059646796180557,0.05759554431771352,0,0.39757760390713204,0.11663255666787907,57.75,0,0.6961737677527151,0.4052978793121034,1.6
MAIN-030,Qwen-MediCare-BD,Q4_K_M,190,0,0.6225950281870992,0.06614350115400415,0.20649032694123698,0.09320869768955804,0,0.29194772107791783,0.14500246757652788,69.25,0,0.242593984962406,0.3393587032543587,1.45
MAIN-030,Qwen-MediCare-BD,Q5_K_M,190,0,0.6804269508311623,0.06873298834354818,0.2756442660322683,0.10378168740902075,0,0.398831578555279,0.1390780523989976,52.55,0,0.49473684210526314,0.4049608828330158,1.2
MAIN-030,Qwen-MediCare-BD,Q6_K,190,0,0.6584695081961782,0.03643555196906298,0.260455264524874,0.06786701164019487,0,0.3927461852664113,0.10853954692080815,57.2,0,0.2957894736842105,0.34572188804659315,1.55
MAIN-031,Gemma-3-4B-it,Q3_K_M,190,0,0.7619801913437091,0.02457393815621303,0.42879231692989356,0.06170554418774191,0,0.6977682371458901,0.09269173951443493,171.2,0,0.917543859649123,0.1729395952126468,2.0
MAIN-031,Gemma-3-4B-it,Q4_K_M,190,0,0.7243804147368983,0.04177607212525913,0.38841706053978464,0.0882697104956699,0,0.692301896877582,0.10715365623024913,174.2,0,0.7802631578947369,0.26282101569280675,1.9
MAIN-031,Gemma-3-4B-it,Q5_K_M,190,0,0.749403345898578,0.026164567284644884,0.4272900844545339,0.05784330896817405,0,0.7206705355951859,0.08771217740319866,168.75,0,1.0,0.0,2.0
MAIN-031,Gemma-3-4B-it,Q6_K,190,0,0.7683438552053351,0.025362140554333376,0.46585611816926564,0.06300354582687855,0,0.7639022900000503,0.04443049866816714,183.0,0,0.95,0.1503963018795596,1.95
