model,quant_level,metric,count,mean,median,std
Qwen-MediCare-BD,Q3_K_M,nli_contradiction_max_mean,99,0.6713203750758437,0.6774601036227077,0.14137234762547196
Qwen-MediCare-BD,Q4_K_M,nli_contradiction_max_mean,100,0.6349166500368871,0.6400501209292411,0.14433301012165986
Qwen-MediCare-BD,Q5_K_M,nli_contradiction_max_mean,100,0.5133667504593469,0.5256925142541699,0.15303037215468096
Qwen-MediCare-BD,Q6_K,nli_contradiction_max_mean,100,0.5642413025437468,0.5648231249004874,0.17154524105983124
Gemma-3-4B-it,Q3_K_M,nli_contradiction_mean_mean,91,0.18783840398395715,0.1787421829025578,0.0535849433960807
Gemma-3-4B-it,Q4_K_M,nli_contradiction_mean_mean,100,0.19996462379500152,0.19829129090783998,0.0660950294803724
Gemma-3-4B-it,Q5_K_M,nli_contradiction_mean_mean,100,0.2114200387284575,0.1975692303996335,0.07094222881067791
Gemma-3-4B-it,Q6_K,nli_contradiction_mean_mean,100,0.21139515191585512,0.20324315617068456,0.0716247354861738
Phi-4-mini-instruct,Q3_K_M,nli_contradiction_mean_mean,100,0.10598245799953561,0.0980140633832476,0.04811182628146467
Phi-4-mini-instruct,Q4_K_M,nli_contradiction_mean_mean,100,0.09244364125661444,0.08935879738540645,0.03705400812025112
Phi-4-mini-instruct,Q5_K_M,nli_contradiction_mean_mean,100,0.09858702857772796,0.1012563287515342,0.03463845438556199
Phi-4-mini-instruct,Q6_K,nli_contradiction_mean_mean,100,0.09961822898743945,0.1019193244080297,0.03588492556269342
Qwen-MediCare-BD,Q3_K_M,nli_contradiction_mean_mean,99,0.2237683226724238,0.2271785363333902,0.05198894618212756
Qwen-MediCare-BD,Q4_K_M,nli_contradiction_mean_mean,100,0.19841740222693796,0.1974642293959171,0.04594703886739093
Qwen-MediCare-BD,Q5_K_M,nli_contradiction_mean_mean,100,0.19219780852987944,0.19015262030062854,0.06236417657200801
Qwen-MediCare-BD,Q6_K,nli_contradiction_mean_mean,100,0.18602326965380558,0.18637081694828012,0.05234031827457275
Gemma-3-4B-it,Q3_K_M,nli_contradiction_q90_mean,91,0.6603526943368316,0.6810008447406314,0.15647159759796747
Gemma-3-4B-it,Q4_K_M,nli_contradiction_q90_mean,100,0.6701418020718358,0.7225321390676918,0.20467282848912602
Gemma-3-4B-it,Q5_K_M,nli_contradiction_q90_mean,100,0.7016048485569175,0.7355342516545152,0.184127809367694
Gemma-3-4B-it,Q6_K,nli_contradiction_q90_mean,100,0.7034624406458286,0.7527672222312464,0.19231310237279917
Phi-4-mini-instruct,Q3_K_M,nli_contradiction_q90_mean,100,0.2986634514593192,0.2771525176132127,0.13520817252425782
Phi-4-mini-instruct,Q4_K_M,nli_contradiction_q90_mean,100,0.26391881187882854,0.2533946776419219,0.1146711602712393
Phi-4-mini-instruct,Q5_K_M,nli_contradiction_q90_mean,100,0.28517109141084185,0.29922923545316493,0.10970278803332904
Phi-4-mini-instruct,Q6_K,nli_contradiction_q90_mean,100,0.29286418489314253,0.29131223632546366,0.11408583831123503
Qwen-MediCare-BD,Q3_K_M,nli_contradiction_q90_mean,99,0.5278375219113525,0.5300690464954108,0.11767464285254431
Qwen-MediCare-BD,Q4_K_M,nli_contradiction_q90_mean,100,0.4889014776398743,0.4913312218726982,0.12161564365539186
Qwen-MediCare-BD,Q5_K_M,nli_contradiction_q90_mean,100,0.40823554616788543,0.4202450537471569,0.12544856288846096
Qwen-MediCare-BD,Q6_K,nli_contradiction_q90_mean,100,0.4379226210732006,0.42265948945510146,0.13723126071931438
