pair_id,model,quant_level,pair_max_mean,pair_mean_mean,pair_q90_mean,consensus
P22,Phi-4-mini-instruct,Q3_K_M,0.4633994168705411,0.08102543044973304,0.17454404234886178,3.0
P23,Phi-4-mini-instruct,Q3_K_M,0.0011293888092041016,0.0011293888092041016,0.0011293888092041016,3.0
P24,Phi-4-mini-instruct,Q3_K_M,0.33765292167663574,0.11395206054051718,0.2891679763793945,3.0
P25,Phi-4-mini-instruct,Q3_K_M,0.3417184750239054,0.1137003931734297,0.27285814185937246,4.0
P26,Phi-4-mini-instruct,Q4_K_M,0.7182008160485162,0.10256185548173057,0.3162351144684687,1.0
P27,Phi-4-mini-instruct,Q4_K_M,0.4992996982165745,0.11443085585321698,0.3284597660814013,1.0
P28,Phi-4-mini-instruct,Q4_K_M,0.689158973239717,0.16650208901791347,0.4823943991036643,2.0
P29,Phi-4-mini-instruct,Q4_K_M,0.1778932809829712,0.02015800553339499,0.03781841595967614,1.0
P30,Phi-4-mini-instruct,Q4_K_M,0.4379375745852788,0.08615341981252034,0.13193431278069803,1.0
P31,Phi-4-mini-instruct,Q5_K_M,0.21154537200927734,0.049999992549419406,0.13951346158981326,3.0
P32,Phi-4-mini-instruct,Q5_K_M,0.3644029242651803,0.07934552345957074,0.25623952320643834,1.0
P33,Phi-4-mini-instruct,Q5_K_M,0.7488004366556804,0.12896899069532936,0.5594553404384189,1.0
P34,Phi-4-mini-instruct,Q5_K_M,0.46484087598054935,0.06547724954167704,0.21502368539795835,5.0
P35,Phi-4-mini-instruct,Q5_K_M,0.7130670653922218,0.1587073574108737,0.4752054618937628,3.0
P36,Phi-4-mini-instruct,Q6_K,0.8106169267134233,0.17803634641584287,0.5635662945834072,3.0
P37,Phi-4-mini-instruct,Q6_K,0.6647490590483278,0.11639713029285054,0.37261233788270226,4.0
P38,Phi-4-mini-instruct,Q6_K,0.5515911281108856,0.07811945527791977,0.20820774018764482,4.0
P39,Phi-4-mini-instruct,Q6_K,0.7749472817221841,0.14539448998786592,0.431954668380402,3.0
P40,Phi-4-mini-instruct,Q6_K,0.8377676827566964,0.15595781377383644,0.5092509535380771,4.0
P41,Qwen-MediCare-BD,Q3_K_M,0.0013322830200195312,0.0013322830200195312,0.0013322830200195312,5.0
P42,Qwen-MediCare-BD,Q3_K_M,0.9931640625,0.359015013774236,0.7542956542968751,4.0
P43,Qwen-MediCare-BD,Q3_K_M,0.6302027702331543,0.1825106106698513,0.4702180594205857,3.0
P44,Qwen-MediCare-BD,Q3_K_M,0.6142276922861735,0.1055282639960448,0.1963675553599994,4.0
P45,Qwen-MediCare-BD,Q3_K_M,0.5848214122984144,0.11993643426232867,0.4610464433166716,3.0
P46,Qwen-MediCare-BD,Q4_K_M,0.512487361064324,0.14176974502893594,0.3792756023315285,4.0
P47,Qwen-MediCare-BD,Q4_K_M,0.5194486209324428,0.12776451329795682,0.38401360852377764,4.0
P48,Qwen-MediCare-BD,Q4_K_M,0.8094504356384278,0.2228015075127284,0.6256593386332194,3.0
P49,Qwen-MediCare-BD,Q4_K_M,0.008495330810546875,0.008495330810546875,0.008495330810546875,4.0
P50,Qwen-MediCare-BD,Q4_K_M,0.5369939066114879,0.15228588311445143,0.37846092610132137,3.0
P51,Qwen-MediCare-BD,Q5_K_M,0.9272125789097377,0.20850959100893565,0.611337287085397,4.0
P52,Qwen-MediCare-BD,Q5_K_M,0.02111339569091797,0.02111339569091797,0.02111339569091797,3.0
P53,Qwen-MediCare-BD,Q5_K_M,0.933924811226981,0.2575007921883038,0.6770970634051732,4.0
P54,Qwen-MediCare-BD,Q5_K_M,0.07815933227539062,0.07815933227539062,0.07815933227539062,3.0
P55,Qwen-MediCare-BD,Q5_K_M,0.8766008104596819,0.24361700117588042,0.6124140923363821,5.0
P56,Qwen-MediCare-BD,Q6_K,0.6294458589770577,0.22451787374236368,0.5624910647218877,3.0
P57,Qwen-MediCare-BD,Q6_K,0.4342148582140605,0.13374688625335696,0.336227534810702,4.0
P58,Qwen-MediCare-BD,Q6_K,0.8584543863932292,0.26822638822098577,0.6695267419020334,4.0
P59,Qwen-MediCare-BD,Q6_K,0.6083038330078125,0.2832556784152985,0.5423665308952332,4.0
P60,Qwen-MediCare-BD,Q6_K,0.0117340087890625,0.0117340087890625,0.0117340087890625,3.0
